Frase;Polaridade
este trabalho e agradável;Positivo
gosto de ficar no seu aconchego;Positivo
fiz a adesão ao curso hoje;Neutro
eu sou admirada por muitos;Positivo
adoro como você e;Positivo
adoro seu cabelo macio;Positivo
adoro a cor dos seus olhos;Positivo
somos tão amáveis um com o outro;Positivo
sinto uma grande afeição por ele;Positivo
quero agradar meus filhos;Positivo
me sinto completamente amado;Positivo
eu amo você;Positivo
que grande alivio;Positivo
a dor esta amenizando finalmente;Positivo
acho que me apaixonei;Neutro
amar e maravilhoso;Positivo
estou me sentindo muito animada;Positivo
me sinto muito bem hoje;Positivo
como o luar e belo;Neutro
o dia esta muito bonito;Positivo
nossa como sou afortunado;Positivo
as maravilhas do mundo;Neutro
recebi muito carinho hoje do meus colegas;Positivo
estou me sentindo reconfortada hoje;Positivo
e muito bom estar com os amigos;Positivo
estou muito contente com o resultado dos testes;Positivo
essa pintura esta bem brilhante;Positivo
temos água em abundancia;Positivo
que roupa delicada;Neutro
você e um grande comediante;Neutro
que bondade a sua em vir aqui;Neutro
o amor e lindo;Positivo
nossa amizade vai durar para sempre;Positivo
estou eufórica com a noticia;Neutro
ele e realmente fiel a mim;Positivo
vou dar uma grande festa para comemorar meu aniversário;Positivo
graças a deus que eu enxerguei o certo;Positivo
essa e a melhor escolhas de todas;Positivo
o mais incrível e você minha bela;Positivo
e tão engraçado tentar explicar;Neutro
e emocionante estar neste lugar;Positivo
estou cativada pelo seu olhar;Positivo
estou loucamente apaixonada;Positivo
eu nunca tive duvidas;Neutro
estou rodeada pelo seu abraço;Neutro
eu vejo estrelas pelo caminho;Neutro
eu sinto o sol sempre que você esta por perto;Neutro
eu estou sorrindo de orelha a orelha;Positivo
isso vale a pena;Positivo
finalmente você colocou meu amor em primeiro lugar;Positivo
nós dançamos noite adentro;Neutro
seu amor e brilhante;Neutro
toquei muitos corações durante o meu caminho;Negativo
eu serei sua amiga e companheira;Positivo
você me traz de volta a vida;Positivo
você e como um sonho doce;Positivo
adoro este doce de frutas;Positivo
meu suco favorito;Positivo
estou agradecida pela ajuda;Positivo
e um enorme prazer ter você em nossa equipe;Positivo
trabalhar em equipe e o melhor;Positivo
me sinto flutuando no ar;Neutro
a brisa esta agradável hoje;Positivo
ótimo e compatível;Positivo
somos compatíveis um com o outro;Positivo
o órgão e compatível com o paciente;Positivo
estou contente fui aceita na faculdade;Positivo
fui aprovada no meu exame;Positivo
fui beneficiada pela minha empresa;Positivo
eu sou muito cativante;Positivo
estou contente com o apoio;Positivo
como este lugar e confortável;Positivo
e bom estar quente neste frio;Neutro
um elogio nunca e demais;Neutro
vou te chamar para comemorar;Neutro
e desejável a sua presença em nossa apresentação;Positivo
sou muito grata a você;Positivo
me dedico muito naquilo que faço;Positivo
estou completamente apaixonada;Positivo
vamos agitar essa noite;Positivo
você significa muito para mim;Positivo
vamos agir sem preconceitos e julgamentos;Positivo
finalmente completei a minha coleção, maravilhoso;Positivo
eu sou sua rainha;Neutro
satisfatoriamente eu anuncio o vencedor dos jogos;Positivo
você me atrai facilmente;Neutro
aquele rapaz e extremamente atraente;Neutro
sinto-me viva;Neutro
sinto-me em paz;Neutro
estamos tendo muito lucro;Positivo
muito bem esta tudo em ordem agora;Positivo
podemos arrumar um emprego juntos;Positivo
a arrumação esta terminada, que alívio;Positivo
o câncer e benigno;Positivo
o amor e abundante;Positivo
vamos ser caridosos este natal;Positivo
com todo esse charme você irá atrair a todos;Neutro
nossa como você e charmoso querido;Neutro
sou querida pelos meu amigos;Positivo
seja cuidadoso com os meus sentimentos;Neutro
estou comovido com tamanha caridade;Neutro
um chá quente e reconfortante;Positivo
que alegria ter vocês aqui;Positivo
vamos aplaudir o vencedor;Positivo
palmas para a aniversariante;Positivo
desejo a você tudo de bom;Positivo
hora de apreciar um bom vinho;Positivo
aprecio sua presença em minha escola;Positivo
anseio por seus próximos trabalhos;Positivo
maravilhoso jogo amistoso;Positivo
e ótimo que os ânimos tenham se apaziguado;Positivo
concretizei finalmente meu sonho;Positivo